index,residual,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
6.300000000000000000e+01,3.196625997024802879e-01,1.250462053981227228e-01,-1.770284587636582474e-01,9.664519982454379265e-01,-2.452171152879692728e-01,4.000666048090636279e-02,7.788894167986112893e-02,1.424073431094110276e-01,8.898292823787834482e-02
6.400000000000000000e+01,-1.178260655643572630e-01,1.233329603646003275e-01,-1.143684159435533199e-01,2.899702717616640668e-01,-8.456285527203502572e-02,4.011730655035031928e-02,7.154783824869072328e-02,1.385335028802189283e-01,4.935765538915586753e-02
6.500000000000000000e+01,-7.757986417196792439e-02,1.171609744192682462e-01,-6.073219427082784255e-02,5.011366842186384396e-01,1.582914589331558056e-02,3.962320271306205011e-02,7.263542711780776595e-02,1.333152290047653066e-01,7.752987574381388358e-02
6.600000000000000000e+01,1.859555804072458851e-01,1.192392895450284651e-01,1.506659825530706591e-02,7.742672384727188328e-01,2.122603396949234583e-03,3.974368700729778020e-02,7.076726281779284478e-02,1.002002468664085350e-01,6.772117306576294626e-02
6.700000000000000000e+01,-1.301381185332143309e-01,1.249080117988567440e-01,-2.586242324004851545e-01,6.063370357448613079e-01,-2.291560764515388482e-01,4.003764112583158702e-02,6.466803842702407989e-02,1.195747690188750934e-01,5.097406146432029855e-02
6.800000000000000000e+01,-1.106463139201334656e-01,1.243064731121386879e-01,-3.861262899464281140e-01,8.504584750795448622e-01,-1.887805523876417979e-01,4.006375249108542341e-02,6.376257355744253952e-02,9.692737254529018576e-02,4.676362583775560411e-02
6.900000000000000000e+01,4.513197001723296548e-02,1.230476393722093886e-01,-4.921761753812253781e-02,2.393428023108323255e-01,-8.027167514963413908e-02,4.018073527732371475e-02,7.456638699793372016e-02,1.369530624784568995e-01,5.166017494011887479e-02
7.000000000000000000e+01,-1.445776713311476003e-01,1.159987466713763987e-01,-1.080194583092591587e-01,4.847783646935154289e-01,-6.276101049824066302e-02,3.958676149708201253e-02,8.757519982639200284e-02,1.334867539094969913e-01,7.013606255623065777e-02
7.100000000000000000e+01,4.285509863090883886e-01,1.248296306085293628e-01,-1.947818287992312547e-01,8.821236287012712562e-01,-2.322559922012009670e-01,4.000602401209362585e-02,8.007561494427672955e-02,1.448336512994831127e-01,9.236740656840036756e-02
7.200000000000000000e+01,2.098145856563977951e-02,1.235025537139131935e-01,-1.292380707131250417e-01,3.119733680986711555e-01,-9.134675467298350449e-02,4.012418159631164077e-02,6.883312541594685530e-02,1.565888768330036818e-01,5.022321746596486447e-02
7.300000000000000000e+01,3.242177505285419314e-02,1.151378823932177192e-01,-1.494809262912182857e-01,5.188884264405280167e-01,-2.932573748481677109e-02,3.958005286326159861e-02,8.210564935137772136e-02,1.357585846740696489e-01,6.540582642359697718e-02
7.400000000000000000e+01,-4.719421533216573428e-01,1.308200307102490301e-01,-1.215541561575128604e-01,6.590145287794896278e-01,2.658294892962584366e-03,4.023684884020494595e-02,8.074536522608542766e-02,1.164235171074332192e-01,8.037177662698609393e-02
7.500000000000000000e+01,-9.498089210999403897e-02,1.300930307884457793e-01,-1.007179872403394794e-01,4.392907207462443120e-01,6.806069915527561409e-03,4.027730582982055191e-02,8.373398429670814158e-02,1.511566340727884539e-01,9.158934215517958166e-02
7.600000000000000000e+01,-1.416936557875368430e-01,1.221951012752423571e-01,-2.048517601623361939e-02,1.931480391758063075e-01,-6.896909511358099987e-02,4.005015153794085070e-02,7.832755947267526497e-02,1.356181014737841417e-01,5.071467033122675078e-02
7.700000000000000000e+01,-2.702776664962112108e-01,1.295957241614877353e-01,-1.153975841224204463e-01,4.096524728540045235e-01,2.003356711192040562e-02,4.023152957620367010e-02,8.233315869212280702e-02,1.632888968598046053e-01,8.572695232680876964e-02
7.800000000000000000e+01,1.846951192255354840e-02,1.158490109931885892e-01,-1.028720133388000418e-01,6.302829975696183640e-01,-4.276447742691125847e-02,3.960193013660832234e-02,8.992084047264374547e-02,1.380939935464545465e-01,6.889071426386093877e-02
7.900000000000000000e+01,-1.873179053069536915e-01,1.290250246677491219e-01,-4.378262193438449690e-01,9.425261345334808860e-01,-2.553868802223175916e-01,4.010042274204697610e-02,6.805488054512431884e-02,4.781649179987229603e-02,5.905622278808845410e-02
8.000000000000000000e+01,-6.437590261182365436e-01,1.182809740079306809e-01,-3.591736687343016071e-02,5.105595563961835559e-01,-2.278638482216465214e-02,3.965514373049374569e-02,7.163386964855281147e-02,1.666661984282152287e-01,8.523503242253953338e-02
8.100000000000000000e+01,2.414604975139163778e-01,1.185306901371150495e-01,-2.888646046851791119e-02,3.541283417620081919e-01,-1.578734971263603404e-01,3.982338812862309257e-02,7.640955367349809568e-02,1.639165599901762360e-01,1.018027835693513100e-01
8.200000000000000000e+01,-3.143331603507312222e-01,1.285362961304398199e-01,-1.044740611764557042e-01,3.692691618338289072e-01,4.492713727598227069e-02,4.023553664824822129e-02,9.086918504476151903e-02,1.590975508802959237e-01,1.016117479672730001e-01
8.300000000000000000e+01,1.223426374707753811e-01,1.217349441627849915e-01,-1.028737390683335737e-02,2.229199702107661218e-01,-6.688945996426635954e-02,4.001259275115775366e-02,7.585727156533446369e-02,1.356094797026632937e-01,5.025829835502010345e-02
8.400000000000000000e+01,-1.561080099404872079e-01,1.254791563517561881e-01,-1.336048819590689996e-01,5.709143599181953910e-01,-2.090571993385703653e-01,4.002041298675926978e-02,6.815539090350947182e-02,1.877608635422179928e-01,6.077791414234208489e-02
8.500000000000000000e+01,5.719035794116093113e-02,1.207031072928522603e-01,-1.693835293116478444e-03,3.561230307478490675e-01,-6.493997406376873782e-02,4.003757336552938445e-02,6.876867791230054094e-02,1.550734892663271081e-01,5.331447130743445506e-02
8.600000000000000000e+01,4.920696027276353912e-01,1.255159050234083973e-01,-4.710898806001895256e-01,8.859041277653580959e-01,-3.318315047092282866e-01,4.005810563902319904e-02,6.447703444551830532e-02,9.083646234395773011e-02,5.013665901548407244e-02
8.700000000000000000e+01,-1.986745907445577053e-01,1.249833135667718365e-01,-2.728547616427322575e-01,6.515704368314191308e-01,-9.764704684723272965e-02,4.001354166131097789e-02,8.055185271290267457e-02,1.608723045729795187e-01,9.623258558042914468e-02
8.800000000000000000e+01,-2.646732678229352098e-01,1.150751654026896942e-01,-1.532575631229071700e-01,5.105373608166952071e-01,-2.871474853641898042e-02,3.957484511840737851e-02,8.203746284186427817e-02,1.375302536318620539e-01,6.538995196441159397e-02
8.900000000000000000e+01,8.871137628690073385e-03,1.255424918133531964e-01,-7.044753782138915010e-01,1.019810131600258352e+00,-2.972283348970162220e-01,4.010660115987343260e-02,6.868037176795430132e-02,7.200763021023888488e-02,5.957164564244406268e-02
9.000000000000000000e+01,-4.994475914227059499e-01,1.189115879007848625e-01,-5.913469602977635027e-03,4.592372880456631057e-01,-4.645564625462572650e-02,3.970246232317432844e-02,8.084833891879100731e-02,1.506577122574682681e-01,8.149790893865827002e-02
9.100000000000000000e+01,-2.882728212818291835e-03,1.229029595346919634e-01,-3.859353859284228583e-02,2.411187040024235506e-01,-7.981173965335912335e-02,4.017312373757357669e-02,7.671965583952633505e-02,1.331020525953884870e-01,5.188023390911700172e-02
9.200000000000000000e+01,-1.594225843890798855e-01,1.194553855331084019e-01,-2.068066705100961907e-03,4.015297297566195467e-01,-1.169691606376276061e-01,3.981392535998953125e-02,6.999184193609429838e-02,1.528026273306795635e-01,8.534299733851456737e-02
9.300000000000000000e+01,-8.409839069159544267e-02,1.189919816451668472e-01,2.183447290037448391e-02,4.358709241990587069e-01,-3.696915336395830559e-02,3.979085428117921930e-02,7.155028562631972344e-02,9.055993676573023676e-02,5.517094846250764073e-02
9.400000000000000000e+01,-1.561795427061230535e-01,1.292783584976724964e-01,-8.379785382401003235e-02,2.984216535405597170e-01,2.910152174094361721e-02,4.026550697960926822e-02,9.237010305601939253e-02,1.600158751969298632e-01,9.418420798525786730e-02
9.500000000000000000e+01,-4.487994696377257953e-02,1.188854500163716577e-01,-1.213303505190072365e-02,3.605448440271037946e-01,-1.930004836683641561e-02,3.971172703417540084e-02,7.336737461127129656e-02,1.274295153244774659e-01,8.681824955742116490e-02
