index,residual,b_intercept,b_nbaths,b_nbeds,b_area,b_age,se_intercept,se_nbaths,se_nbeds,se_area,se_age
5.400000000000000000e+01,-1.172972774142717611e+01,1.356114364426946111e+02,2.111578000199541449e+01,-4.909037856816865109e+00,6.213487746315846799e-02,-6.125127033061608106e-01,9.570595538770192146e-02,6.786774887501588471e-02,1.521408407815126040e-01,2.876987608412853964e-04,1.322773580141809423e-02
5.500000000000000000e+01,-4.966234729718355112e+01,1.311714587850523230e+02,2.126091707930454788e+01,-1.111363186725284713e+01,5.645973442787631524e-02,-1.915602870209296982e-01,1.058433689502266406e-01,6.778618353865689672e-02,1.464411748344206510e-01,2.105122407629021752e-04,9.724191879530989790e-03
5.600000000000000000e+01,4.163159292486875529e+01,1.471537426514392735e+02,2.057123010126872131e+01,-1.096895711906385529e+01,1.019065562339225017e-01,-9.051055853402578677e-02,1.045551150965397663e-01,6.730555915128262623e-02,1.642538623053223790e-01,2.250234122169128429e-04,1.137654506983205166e-02
5.700000000000000000e+01,2.085602178089338565e-01,1.346843551613371233e+02,2.103695387074084167e+01,-1.243342591776283035e+00,6.140270169383175297e-02,-5.576762102129386722e-01,9.713134764436247293e-02,6.773878154206942892e-02,1.406141426986682319e-01,2.507975402095154443e-04,1.426636188914612476e-02
5.800000000000000000e+01,1.029119753028387230e+01,1.674552818567622978e+02,2.267528896382855663e+01,-1.119586523109924059e+01,1.000830515107797580e-01,-1.198537521263403072e+00,9.385881771710706534e-02,6.841119612276951034e-02,1.817176846514562683e-01,2.583037109786560860e-04,1.345589076510908880e-02
5.900000000000000000e+01,-1.052796122799944811e+01,1.359104187319057928e+02,2.089412930195280893e+01,1.479368164741678981e-02,6.844358612377376971e-02,-1.342800800750936663e+00,1.000132964706833966e-01,6.760620588780676121e-02,1.412386992907584682e-01,2.430765510939433491e-04,2.052909338766937403e-02
6.000000000000000000e+01,9.009875373889224193e+01,1.407779885788387730e+02,2.359395848082631630e+01,-2.787490133699306583e+01,1.408355595963632911e-01,-2.190406139356352533e+00,1.086891106352788766e-01,6.829887058131019206e-02,1.591107147287585399e-01,1.919989789817223489e-04,1.272803763711971223e-02
6.100000000000000000e+01,2.521961246865604522e+01,1.327226187510480315e+02,2.143594848364540439e+01,-1.686236282458781233e+01,6.803279500172287886e-02,-2.731745909875366030e-01,1.045772492282282390e-01,6.795347858333673774e-02,1.490820673163139043e-01,2.362901168062802812e-04,1.010754878814161886e-02
6.200000000000000000e+01,-1.130770451562796275e+01,1.475055192344993600e+02,2.048033390123640984e+01,-1.045522076453138283e+01,1.043285771010821206e-01,-2.330270865125534663e-02,1.071627926422959037e-01,6.734401555022773156e-02,1.831517563714893937e-01,2.188198870890263473e-04,1.069476870426418896e-02
6.300000000000000000e+01,7.666632802037622696e+01,1.562153427772402097e+02,2.223146665639313824e+01,-3.571160655817679697e+01,1.669963833544023113e-01,-6.059503862513286876e+00,1.009316295741315012e-01,6.795799810944395947e-02,1.553714748101197862e-01,2.620766228716305511e-04,1.205615951368724757e-02
6.400000000000000000e+01,-3.201147984715985828e+00,1.719816175637593290e+02,2.183850950341675201e+01,-3.209350595448134413e+01,1.048730566929971658e-01,-3.065234865682748833e-01,9.923115309106603221e-02,6.813709815909099743e-02,1.405487094117512659e-01,1.804880485380684727e-04,6.979355036738837254e-03
6.500000000000000000e+01,-1.287891990569062806e+01,1.561373909369832802e+02,2.064172674689219278e+01,-7.601729701998440447e+00,9.205763887702128612e-02,-2.919331162481030861e-01,9.958001719032834320e-02,6.736934019613786961e-02,1.489504918876210782e-01,1.698302148899233388e-04,1.088548248878943615e-02
6.600000000000000000e+01,1.034238971459603640e+01,1.689605280475507527e+02,2.102030091483928231e+01,5.144303415564837501e+00,1.306951864502551852e-01,9.803646529173445368e-01,9.416187706084264142e-02,6.755363149538383405e-02,1.448556013009092702e-01,1.647773363722823887e-04,9.565457709759129373e-03
6.700000000000000000e+01,-1.586874207855895413e+01,1.772129181863790279e+02,2.219786778115659942e+01,-6.279139726652137199e+01,1.665443610276792774e-01,-1.913473688999517197e+00,1.042540419605876428e-01,6.799735620121433177e-02,1.288057885558278326e-01,1.660998508352937771e-04,6.758293543189905668e-03
6.800000000000000000e+01,-1.779231985790862325e+01,1.782634514590828019e+02,2.206229627899638857e+01,-8.923024241576634097e+01,1.881200422280187579e-01,-2.045334461560219363e+00,1.073700084209247285e-01,6.803807477120854541e-02,1.266789882841842241e-01,1.515488417285859406e-04,6.416759703802342972e-03
6.900000000000000000e+01,1.746125571920082820e+01,1.761337518029664864e+02,2.180537594062615270e+01,-1.622066457763613556e+01,7.112339605642872820e-02,-7.557817302581463226e-01,1.007329154504950641e-01,6.825349069069820696e-02,1.458414519236231333e-01,2.202415137527141253e-04,6.541203164424054008e-03
7.000000000000000000e+01,-2.879946592988860132e+00,1.453499491018392291e+02,2.043608794292506659e+01,-1.539004214173684559e+01,1.097350133526821675e-01,-2.037649682407124629e+00,1.088490099275034595e-01,6.731915927731252358e-02,1.845730315477246142e-01,2.318107074788850104e-04,1.103207542619234413e-02
7.100000000000000000e+01,8.328544639330785060e+01,1.536993764583458812e+02,2.218041823919743294e+01,-3.807413264302596190e+01,1.609207280626039627e-01,-4.520883562676194956e+00,1.021669571212896616e-01,6.795771450618891263e-02,1.600043372135843689e-01,2.614842622672166033e-04,1.250551486479743908e-02
7.200000000000000000e+01,2.956526222335684650e+01,1.734100311270196073e+02,2.188992009240227787e+01,-3.410923690574865219e+01,1.172727928188802282e-01,-2.888950828652803171e-01,9.912936825828609633e-02,6.814528599398995967e-02,1.361537308305486305e-01,1.763712955603556859e-04,7.646526411259296427e-03
7.300000000000000000e+01,2.242765946803195831e+01,1.454690477450543824e+02,2.028893999508947488e+01,-2.063335455648516614e+01,1.157365513545598468e-01,-9.614873963954632119e-01,1.131992249537678297e-01,6.731817485914533272e-02,1.737759933346621488e-01,2.280635219906833723e-04,9.710765499291550487e-03
7.400000000000000000e+01,-8.910349730218200648e+01,1.402801158453384858e+02,2.357003492113484455e+01,-2.741132283356649424e+01,1.337270916744727756e-01,-1.915016751591875455e+00,1.082902611818000460e-01,6.830910228849849941e-02,1.584539735717959974e-01,1.935131128810790521e-04,1.230920559915481445e-02
7.500000000000000000e+01,-6.370202929951501503e+00,1.444017791689213652e+02,2.341467829914831711e+01,-2.430997051752689231e+01,8.695825053007696925e-02,-1.659420830683130177e+00,1.017227910077626446e-01,6.836935870286507677e-02,1.653118480136556434e-01,2.542448061628828013e-04,1.256612231546059243e-02
7.600000000000000000e+01,-1.940222250095783707e+01,1.741747761855964995e+02,2.160365150219866948e+01,-1.167868881996356301e+01,7.332610524979447930e-02,-6.422714081421787569e-01,9.941497214191090392e-02,6.804321509806424140e-02,1.521124366173304820e-01,2.180074453060549308e-04,6.907701560827071013e-03
7.700000000000000000e+01,-2.499375137456136997e+01,1.423287574889423581e+02,2.329844293460595139e+01,-2.852111789726787450e+01,9.416505515664372328e-02,-1.723186038351198213e-01,1.033743287405555350e-01,6.829844925112782406e-02,1.616405674342986931e-01,2.530631735124334652e-04,1.672269347452856603e-02
7.800000000000000000e+01,1.143886739287211540e+01,1.469931805464955801e+02,2.042013447459345699e+01,-1.202416436587825643e+01,1.239312875022658966e-01,-9.877422162050996102e-01,1.091626023146913538e-01,6.735079465514068331e-02,1.903701481919125582e-01,2.274779603425140253e-04,9.873753493597463987e-03
7.900000000000000000e+01,-9.802231166909328408e+01,2.410867941053429888e+02,2.315716440294479739e+01,-8.180469638006702837e+01,2.045680257097478583e-01,-2.633570882377425981e+00,1.087652075535747997e-01,6.809967273717419667e-02,1.406128997072171594e-01,9.592537030739503221e-05,7.015528612264034652e-03
8.000000000000000000e+01,-1.083655777859823957e+02,1.497260853124398068e+02,2.081729937651903839e+01,-4.550769408138385153e+00,9.625325762300067367e-02,-1.618417078624900252e-01,9.638433549421963897e-02,6.740330028197095980e-02,1.458364127258267029e-01,2.183762830781398653e-04,1.197371147907854913e-02
8.100000000000000000e+01,9.614910200404460738e+01,1.387608633337383992e+02,2.082062049897403355e+01,-6.821443977699113148e-01,7.559655129498317472e-02,-1.296614122330332908e+00,1.030895448546374632e-01,6.766753134473095510e-02,1.524677630439085219e-01,2.633762010146776210e-04,1.570979480646810672e-02
8.200000000000000000e+01,-4.181465550477410886e+01,1.498685036673889499e+02,2.306608213421934650e+01,-2.607131016993307426e+01,8.304051131685140363e-02,1.905379459685448418e-01,9.855581850418296264e-02,6.830344727953099881e-02,1.782865604757909728e-01,2.600687989048933754e-04,1.390396471255117561e-02
8.300000000000000000e+01,4.869588139123356996e+01,1.752065156573480920e+02,2.152258466166911433e+01,-8.888719394258515649e+00,7.647949609109769287e-02,-8.206678735448356132e-01,9.761728836959931987e-02,6.798681362853871424e-02,1.478602847366407569e-01,2.176106688368911160e-04,6.985725202841673066e-03
8.400000000000000000e+01,-3.612498737079979350e+01,1.731941701429189209e+02,2.233123320366719966e+01,-3.239406994658919814e+01,1.244671667808251170e-01,-1.436926441914158303e+00,1.012997473761420436e-01,6.797381907123836720e-02,1.368137939853566465e-01,2.782459270420908687e-04,1.217022436940425403e-02
8.500000000000000000e+01,1.842283840554270924e+01,1.774080244989558537e+02,2.140094611315272033e+01,-3.091246723368641813e+00,7.998841018749634768e-02,-9.592248300220413970e-01,9.573965163602890516e-02,6.805333442099786856e-02,1.398710362229124149e-01,2.011738378446146982e-04,7.408807414805242998e-03
8.600000000000000000e+01,9.691099891368415342e+01,1.994422769934008954e+02,2.234586661241431571e+01,-1.065786592336745855e+02,2.183267209311924306e-01,-3.528138932493388502e+00,1.027532340970368496e-01,6.802873582813834252e-02,1.278388282285583821e-01,1.389870844018919723e-04,7.322334063160366481e-03
8.700000000000000000e+01,-1.932026176032544740e+01,1.515249839125539211e+02,2.222603094289926773e+01,-5.183133356793354096e+01,1.503057133831514902e-01,8.159387648917468261e-02,1.035117108884475584e-01,6.797666377062169807e-02,1.621023261885160549e-01,2.419391996706825375e-04,1.461120015592598520e-02
8.800000000000000000e+01,-2.563809193202807180e+01,1.451482176663671169e+02,2.027548131137996279e+01,-2.160404732948327222e+01,1.103703127992685384e-01,-1.029246023991536196e+00,1.138843478065337256e-01,6.730879698313403658e-02,1.732545262969931443e-01,2.318823306914655170e-04,9.135590478513250581e-03
8.900000000000000000e+01,-1.043300177341279777e-01,1.994445160448347849e+02,2.236582305654160407e+01,-1.559916599463382454e+02,2.240721906008994180e-01,-3.010247432188453587e+00,1.003296565749573765e-01,6.810359717663402868e-02,1.359111426548594015e-01,1.335500590886658386e-04,7.292489756852683913e-03
9.000000000000000000e+01,-6.555051981854282417e+01,1.390519792623710202e+02,2.091092186853005686e+01,4.076318554000857297e+00,7.417517382408644888e-02,-1.916505359093277017e+00,9.894148577100074504e-02,6.747011005073987044e-02,1.607164760782244517e-01,2.495941665868064247e-04,1.424040938831487579e-02
9.100000000000000000e+01,7.129858101103579315e+00,1.761636521109654154e+02,2.177193826168249657e+01,-1.437165626602586421e+01,7.162177224374181861e-02,-7.712671062134304201e-01,1.013073493988322915e-01,6.824373710695233464e-02,1.498133419182054449e-01,2.180050537135289697e-04,6.597900010576033397e-03
9.200000000000000000e+01,-1.550813140109681854e+01,1.339946418767340219e+02,2.099010650874687300e+01,7.896471511576642621e-01,5.629470627991777637e-02,-4.626598372964590977e-01,9.718895193113386011e-02,6.764671678961019230e-02,1.421407486776312956e-01,2.308983278937263553e-04,1.731766449224599394e-02
9.300000000000000000e+01,-1.596082582813315298e+01,1.766551961400998607e+02,2.101563123096950747e+01,6.092862725957834513e+00,1.066606706669213506e-01,-6.569831591608002452e-02,9.592826675698851169e-02,6.764661831068864706e-02,1.474717132229417804e-01,1.655010151786934257e-04,8.228600639320127197e-03
